feature,importance
Init Bwd Win Bytes,0.0828068912076953
Fwd Packet Length Max,0.08137138595288776
Bwd Packet Length Mean,0.0513601220807969
Bwd Packet Length Max,0.050763296689900136
Subflow Bwd Bytes,0.036223757250555016
Total Backward Packets,0.034516326419247394
Avg Packet Size,0.03390593781327139
Fwd Packet Length Mean,0.033166482818590096
Bwd IAT Min,0.032079801840844906
Bwd Packets/s,0.031895334123222735
Packet Length Mean,0.030767149625157975
Subflow Bwd Packets,0.030066432450449494
Avg Bwd Segment Size,0.02945881717837217
Fwd IAT Max,0.027514001612767174
Fwd IAT Total,0.02570437219880491
Fwd IAT Mean,0.021941347842385925
Avg Fwd Segment Size,0.021795586689994956
Bwd Packet Length Std,0.02108358584335008
Fwd Packets Length Total,0.020781051803787476
Packet Length Max,0.02052698039940082
Subflow Fwd Packets,0.020050748385521476
Fwd Packets/s,0.020036796594991187
Fwd Packet Length Std,0.019918615260827437
Packet Length Std,0.015786429339114564
Flow IAT Max,0.0151847000654564
Fwd Act Data Packets,0.014838547965648855
Packet Length Variance,0.014725959114816894
Fwd IAT Min,0.014619216999650162
Flow Packets/s,0.013579367727639863
Fwd Header Length,0.013435504637257189
Bwd Header Length,0.012996735946604856
Flow IAT Mean,0.012823795390636642
Total Fwd Packets,0.011038961952994994
Init Fwd Win Bytes,0.0102178012968459
Active Min,0.007805867517313559
Flow Duration,0.007730636381348899
Fwd IAT Std,0.007536250584758762
Bwd IAT Total,0.007476377315475559
Flow IAT Min,0.007403322828340593
Bwd Packets Length Total,0.006814619098919393
Bwd IAT Std,0.00644546842722619
Fwd Seg Size Min,0.005679054647218436
Subflow Fwd Bytes,0.003588338143246189
Idle Max,0.0035574477829117294
Idle Min,0.0024230889260539183
Active Max,0.0016590865004650055
Bwd IAT Max,0.0016048021841353535
Idle Std,0.001473647935298519
SYN Flag Count,0.0005856031857871206
Idle Mean,0.0005128618481966208
Active Std,0.00024307240593866706
Flow IAT Std,0.0002097130730742585
Flow Bytes/s,0.00019238686915875586
Bwd IAT Mean,6.087777414626346e-05
Active Mean,1.1178362718804106e-05
Fwd PSH Flags,2.9973824989826714e-06
URG Flag Count,1.4583062794341826e-06
